"Lake","Depth","AD","guano_lo","guano_med","guano_hi","Hg2_lo","Hg2_med","Hg2_hi","soil_lo","soil_med","soil_hi"
"Cumberland_Tarn",0,2009.9,0.487562784894876,0.725835215754972,0.827897619550166,0.00660456332502131,0.110982680251739,0.466345221696588,0.0110649746454766,0.149396748324819,0.302448894803123
"Cumberland_Tarn",0.5,2001.2,0.636631328930243,0.799532038464193,0.913338754148972,0.0035764656302635,0.083476332558548,0.316981195878102,0.00708316080949415,0.097215491769773,0.226183610143997
"Cumberland_Tarn",1.5,1985.7,0.596234703198758,0.824195060855764,0.925015006514448,0.00263392420482554,0.0730490920902833,0.342952982983186,0.00532766296591126,0.0798663670983303,0.224723333149663
"Cumberland_Tarn",2,1978.9,0.652330626577086,0.83612686282389,0.958740915034477,0.00261339496379877,0.061281495998984,0.304564265565831,0.00345193697240341,0.0741992792089916,0.214126892455306
"Cumberland_Tarn",3.5,1955.8,0.608018236255341,0.797245472445777,0.907665926216258,0.00215949246151379,0.0773259263428983,0.335294914475856,0.0069345390114692,0.0967989187275617,0.246873571136656
"Cumberland_Tarn",5,1944.4,0.6446749937558,0.834211956566278,0.953963741600142,0.00207838089725586,0.0648993305091635,0.311887796798294,0.0038304660916175,0.0782449336023175,0.2144023455089
"Cumberland_Tarn",5.5,1936.2,0.61580403126654,0.818436145615865,0.931099834806615,0.0035651028489103,0.0655485283571458,0.332837057819392,0.00491435108267671,0.0864895598057369,0.230907243364414
"Cumberland_Tarn",6.5,1922.7,0.662618799887707,0.815375845038983,0.935335733626714,0.00417123374078773,0.0828769817009171,0.270029762313195,0.00356652715499359,0.0858077619366198,0.209763982597109
"Cumberland_Tarn",7.5,1907.8,0.702523801251979,0.840514589471104,0.959581967459206,0.00308887032555118,0.0631334346164578,0.256657039290473,0.00406859393489081,0.0719165503254039,0.192319195766682
"Cumberland_Tarn",8,1898.3,0.735771189019434,0.855651303472741,0.965188460765092,0.00226921643314671,0.053452665972107,0.229506373730979,0.00349132529566972,0.0663479501302777,0.177319473954408
"Cumberland_Tarn",9,1849.3,0.668584114134716,0.851296923479969,0.962950033637875,0.00351437904556964,0.0574496433597563,0.280833757580513,0.00262821559306249,0.0724127753055,0.198025852761813
"Cumberland_Tarn",10.5,1785.3,0.246276581555923,0.687597610808292,0.854560962298665,0.00505637431572828,0.126114165659886,0.718493214271359,0.0107506889204648,0.141932949298628,0.403321673790834
"Cumberland_Tarn",11,1764.4,0.264973113204024,0.632062922488188,0.821678696662364,0.00809744338468485,0.151758460699729,0.679675791564278,0.00796463707614258,0.188177732382405,0.408781026379522
"Cumberland_Tarn",12.5,1703.5,0.425606059280877,0.76996748101701,0.964412648680731,0.00347698814564788,0.0803051166761318,0.528973085552453,0.00321111530284198,0.101219010233856,0.318623291097579
"Cumberland_Tarn",14.5,1623.6,0.618920426068945,0.78964886373028,0.897775584248768,0.0058816055292443,0.0871304068976798,0.318598778951533,0.00502452991446744,0.102490409505483,0.227184414033879
