"Lake","Depth","AD","guano_lo","guano_med","guano_hi","Hg2_lo","Hg2_med","Hg2_hi","soil_lo","soil_med","soil_hi"
"Emerald",0,2010.3,0.0410011822476829,0.466940330616818,0.638533297622728,0.00975747834520476,0.180279488878017,0.772743631216033,0.0455355823613794,0.33265873484494,0.591016967273634
"Emerald",1,1997.9,0.0294619709360986,0.552048389189897,0.713974033221207,0.00481578077404972,0.151792513876504,0.874251497100531,0.0302127604208055,0.269675193920497,0.520180326035664
"Emerald",1.5,1995.7,0.0473716807181458,0.57789532340483,0.742908584447327,0.00671092405719298,0.167923066129414,0.906502111447178,0.014187889128228,0.220388865286519,0.470778057213392
"Emerald",3,1982.7,0.0297339338174147,0.43499399424119,0.605259155429875,0.00811417949287384,0.184901743933821,0.731374385291985,0.0413293274936549,0.36117965885707,0.605060083150919
"Emerald",5,1975.4,0.225716027543302,0.394843423301505,0.543654561579137,0.00933734131584573,0.187704910323269,0.568583371163559,0.0302907854968614,0.395856646650762,0.644219450519021
"Emerald",5.5,1973.6,0.0382723749567033,0.488891081016105,0.661693051270903,0.00583365279476726,0.143867802696112,0.758440961072824,0.0407282557210163,0.329063171512175,0.591042785619011
"Emerald",6,1971.8,0.0617340509462743,0.446258528802384,0.604507523784326,0.00871205730273678,0.173931632893995,0.741718230331424,0.0339002051704995,0.355494940114468,0.599434525321348
"Emerald",6.5,1969.1,0.0448742786664444,0.520895190763977,0.71042356891241,0.00666865347512837,0.153401773831245,0.808096679489743,0.0348410345583895,0.304275358779579,0.560213623768995
"Emerald",8.5,1952,0.0421975974925439,0.583435903028579,0.741163707565706,0.00501581621688301,0.149843284521619,0.879823605511107,0.0270462372374437,0.246214766536198,0.499381499669701
"Emerald",9.5,1935.2,0.0375931836620144,0.621212107011969,0.774543140237202,0.00550630286038606,0.130978178062724,0.920498968699581,0.0169976788342038,0.22177875882578,0.452109351491948
"Emerald",11.5,1886.2,0.0933818231601459,0.629670985526121,0.794772849718526,0.00484933402099793,0.127622891788112,0.87174155318002,0.0166810772800403,0.193465900136152,0.441672863447248
"Emerald",12,1873,0.458124942298123,0.74328206998835,0.956999143628019,0.00237503205751338,0.099938861670166,0.508807787574387,0.00341679844778032,0.134193653901151,0.306501585439783
"Emerald",14,1823.7,0.64539915194106,0.814810531815044,0.932343068065007,0.00363515875110553,0.0720514929810143,0.305148096385425,0.00503401169315389,0.084060749594272,0.215682421518105
"Emerald",15.5,1700.8,0.753707699470729,0.867252087181965,0.968929038090645,0.0018971749526592,0.0538055909775762,0.21524821315496,0.00288133603703069,0.0620709456541125,0.164608772698055
"Emerald",16,1613.3,0.773003301035406,0.872966241951422,0.970405389448289,0.00276298477465513,0.0605097208987748,0.197089118832008,0.00170985917188254,0.0528441877357805,0.152604585768088
