"Lake","Depth","AD","guano_lo","guano_med","guano_hi","Hg2_lo","Hg2_med","Hg2_hi","soil_lo","soil_med","soil_hi"
"Green_Gorge",1,1995.1,0.0427775986113671,0.202915231295897,0.418916586884057,0.00658038544407797,0.207590827877194,0.755015464263219,0.0319137010583479,0.5652286130568,0.828313177241698
"Green_Gorge",2,1981.5,0.0502016949305512,0.199239972234683,0.370295780451524,0.011614608656233,0.195144595528184,0.734059303212783,0.0526337325588123,0.608357003281376,0.871997006789581
"Green_Gorge",2.5,1976.7,0.035109146631622,0.19341215731668,0.413731208822794,0.00596640896931707,0.215164822890832,0.771005420594759,0.0391220876843695,0.564594429676157,0.839982406799925
"Green_Gorge",3.5,1965.4,0.0565792076755156,0.223751144113701,0.425227193743038,0.00905463111506424,0.19928228939648,0.728686201998531,0.0308393825452132,0.552362565933668,0.820340911220327
"Green_Gorge",5,1942.2,0.0708725453267215,0.258819899051826,0.464098110974554,0.00698100260350157,0.183545882118513,0.658361538780094,0.0398562802645971,0.5313639199292,0.79165838612876
"Green_Gorge",7.5,1870.5,0.0569260223575054,0.201960903047551,0.472984228076817,0.00848979430108633,0.175299005210313,0.736926467494505,0.0346178604382334,0.55343196367138,0.854254991145456
"Green_Gorge",9,1821.2,0.0362452129399036,0.170190242892925,0.417867808604297,0.00712750369844178,0.201957119332443,0.744226862133847,0.053948192195449,0.582558754818436,0.86517228399682
"Green_Gorge",12.5,1701.6,0.00510357356971152,0.0653600296881062,0.290534039941307,0.00953722579573445,0.242446122825626,0.904874080428225,0.0441063631653945,0.604929595644969,0.948975033543737
"Green_Gorge",14.5,1649.7,0.0487344686284732,0.573062163551131,0.748512408829064,0.00637560607678078,0.161804499672433,0.907205014224023,0.0234359967307388,0.224290333895725,0.479750924568642
"Green_Gorge",17.5,1583.1,0.0584865283909762,0.582037846507514,0.750777052211491,0.00902578193329517,0.160917463999459,0.914183508023268,0.0125266610600973,0.210421821579866,0.470230111866639
"Green_Gorge",21,1520.1,0.132398117295366,0.573651791409712,0.756177765881873,0.00790336056003768,0.161393666132855,0.830952998087136,0.015808815354897,0.205946202933285,0.463885606228016
