"Lake","Depth","AD","guano_lo","guano_med","guano_hi","Hg2_lo","Hg2_med","Hg2_hi","soil_lo","soil_med","soil_hi"
"DP2",0,2006,0.0292743627024102,0.165814803980794,0.379154465320054,0.00646344899045614,0.19688433357351,0.783621434095066,0.0431803838372722,0.595880144741151,0.855762708091559
"DP2",1,1993,0.0553327182536567,0.243421331104823,0.483955836385817,0.00705037849702993,0.196534565243936,0.726733289346134,0.0240757404548148,0.525559571744481,0.816489029725698
"DP2",2,1982,0.0655057518698761,0.208446920728101,0.386593304311332,0.00874594452729861,0.176226386768111,0.720089079412312,0.0382881525008588,0.605532784976194,0.854890463858276
"DP2",5,1948,0.00237064478930204,0.0605637634115915,0.324108666400245,0.00818112009357773,0.321196016149826,0.924356292384364,0.0230820468483501,0.544042253567706,0.961570748143146
"DP2",8,1882,0.0567645875780607,0.273916775979181,0.51591922401338,0.00589446516605292,0.159982857339949,0.662366417064215,0.0430286855417569,0.52799103286611,0.773451249660453
"DP2",10,1829,0.0437169563964057,0.307763993268533,0.515791973145755,0.00738453622847188,0.169979711889105,0.640804123015781,0.0321886569202855,0.50812802188078,0.747420309500226
"DP2",11,1805,0.129542233632181,0.285173105124508,0.42793224831358,0.0157862714520868,0.223408924107032,0.626526953794391,0.0510480708003944,0.491553394835269,0.750090683746176
"DP2",12,1783,0.0610217201203695,0.21758141161585,0.403180354277418,0.00744305511183973,0.18381665856052,0.708550625214451,0.044586642055873,0.590949536858169,0.863862104275667
"DP2",18,1658,0.0184623088621096,0.138040168814374,0.367729764144555,0.00939185832139968,0.207110418738329,0.813066380690745,0.0486555911361974,0.598162243422702,0.87853933099432
"DP2",21,1600,0.0253684726364775,0.161421677913728,0.428398290963417,0.00806633922610812,0.190933166643387,0.773713701240183,0.0355537265269989,0.588643893888938,0.875935885910815
"DP2",24,1557,0.00416962535885121,0.0831867873881999,0.38972984409467,0.0066949535209302,0.238459824216704,0.86288527757784,0.0252434208816761,0.562330272319348,0.958996939282754
